score,SMILES,Name
0.877,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1C[C@@H]1CNCCO1)OCO3,3888941_1296004_1592098
0.819,Cc1[nH]c(=O)[nH]c(=O)c1-n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_399478_1592098
0.901,N=C(NCCO)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_1652056_1592098
0.892,O=C(CN1CCOCC1)n1c([C@H]2CNCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_19371708
0.855,Cc1cc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc2cn1,39066258_20436848_1592098
0.885,CN(C)C[C@@H](O)Cn1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_19255181_1592098
0.804,Nc1nc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc2c(=O)[nH]1,4876898_20436848_1592098
0.762,NC(=O)c1nsc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc12,5670120_20436848_1592098
0.914,O=C(CN1CCOCC1)n1c([C@@H]2NCC[C@H]2O)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_895590
0.855,O=C(CN1CCOCC1)n1c(Cc2nnn[nH]2)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_5178980
0.782,Cc1cc2ncc3c(=O)n(C(=O)CN4CCOCC4)c(CNC4=NCCN4)nc3n2n1,1406919_20436848_1592098
0.928,N#CNC(=N)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_5112486_1592098
0.828,COc1nccc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc12,72319657_20436848_1592098
0.829,O=C(c1cnc[nH]c1=O)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_8672865_1592098
0.719,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2c(nnn2CC2CC2)c1=O,256050123_20436848_1592098
0.88,COCCNC(=O)Cn1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_4218734_1592098
0.871,O=C(C[C@H](O)CO)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_2567781_1592098
0.847,C[C@H](NC(=O)Cn1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3)C(=O)O,3888941_1730665_1592098
0.868,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2nccnc2c1=O,967253_20436848_1592098
0.946,NCC[C@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_52986906
0.857,COC(=O)CNC(=O)Cn1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_2168344_1592098
0.858,Cc1cnc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2c1,26441149_20436848_1592098
0.945,N[C@H](CCO)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1742215
0.885,NC(=O)N[C@H](CO)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_2522564
0.84,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1[C@@H]1C[C@@H](O)[C@@H](O)C1)OCO3,3888941_146501451_1592098
0.897,NC(=O)C[C@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1532556
0.896,COC(=O)[C@@H](N)Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1709620
0.793,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O)OCO3,3888941_49587762_1592098
0.853,O=C([C@@H]1CNCCO1)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_19686020_1592098
0.849,O=C1CC[C@@H](C(=O)n2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)N1,3888941_4403946_1592098
0.875,O=C1CN[C@@H](c2nc3cc4c(cc3c(=O)n2C(=O)CN2CCOCC2)OCO4)CN1,3888941_20436848_76576471
0.897,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1[C@@H]1COC[C@H]1O)OCO3,3888941_12957829_1592098
0.882,O=C(CN1CCOCC1)n1c([C@H](O)[C@H](O)CO)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_901063
0.92,C[C@@H](O)[C@@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_895399
0.894,O=C(CN1CCOCC1)n1c(Cn2cnnn2)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_967442
0.774,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2nc(CO)ncc2c1=O,40543678_20436848_1592098
0.879,N=C(O)[C@H](CO)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_94437874_1592098
0.817,COc1cnc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2n1,95757573_20436848_1592098
0.869,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1[C@H]1COC[C@@H]1O)OCO3,3888941_12957834_1592098
0.886,CN1CCNC[C@H]1c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_89223309
0.895,CC(=O)N[C@@H](CO)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_158173
0.877,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2cnccc2c1=O,165882_20436848_1592098
0.777,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2O)OCO3,3888941_104600679_1592098
0.812,O=C(O)[C@H](CO)NC(=O)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_2626461_1592098
0.923,O=C(CN1CCOCC1)n1c(=O)c2cc3c(cc2nc1[C@]1(O)C[C@H](O)C1)OCO3,3888941_20436848_1083812835
0.853,CN1C[C@@H](O)[C@H](n2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)C1,3888941_34278490_1592098
0.801,O=C(O)[C@@H]1C[C@@H](n2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)CN1,3888941_95831405_1592098
0.866,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2nnccc2c1=O,4202687_20436848_1592098
0.841,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1[C@@H]1CC[C@@H](O)[C@@H]1O)OCO3,3888941_34071169_1592098
0.849,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2cnc(Cl)nc2c1=O,144544129_20436848_1592098
0.801,O=C(O)c1ccc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc2n1,95769067_20436848_1592098
0.823,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2cn[nH]c2c1=O,26895189_20436848_1592098
0.923,CN(CCO)Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_11862698
0.824,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2[nH]ncc2c1=O,5116952_20436848_1592098
0.949,NCC(CN)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_114812654
0.898,NC(=O)C[C@@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1529313
0.802,Cn1cnc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc21,3985038_20436848_1592098
0.863,CNC(=O)[C@@H](CN(C)C)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_575458008_1592098
